Latitude,Longitude,District,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
10.75,77.5,Dharapuram,Tamil Nadu,0.0,0.0,0.03,0.84,4.95,0.04,0.76,0.01,0.0,4.65,0.88,0.74
10.75,77.75,Dharapuram,Tamil Nadu,0.0,0.0,0.0,0.0,7.21,1.51,1.18,0.04,0.07,1.03,1.12,0.85
10.75,78.0,Vedasandur,Tamil Nadu,0.0,0.0,0.0,0.06,5.33,0.2,3.4,0.28,0.79,0.72,0.08,1.43
10.75,78.25,Kadavur,Tamil Nadu,0.0,0.0,0.01,0.0,5.24,0.0,2.94,0.05,0.35,0.42,0.01,0.82
10.75,78.5,Kulithalai,Tamil Nadu,0.0,0.0,0.12,0.02,4.14,1.2,5.05,1.01,0.5,2.61,0.23,1.46
10.75,78.75,Thiruverumbur,Tamil Nadu,0.0,0.0,0.0,0.0,3.66,1.67,2.67,1.89,1.91,4.48,1.09,1.88
10.75,79.0,Thanjavur,Tamil Nadu,0.0,0.0,0.0,0.0,3.72,4.07,2.71,4.94,5.77,6.63,1.67,1.96
10.75,79.25,Papanasam,Tamil Nadu,0.0,0.0,0.0,0.0,5.32,1.14,0.42,0.61,2.48,2.19,2.24,1.77
10.75,79.5,Kudavasal,Tamil Nadu,0.0,0.0,0.0,0.0,6.37,0.48,1.77,0.56,1.93,1.86,4.41,2.94
10.75,79.75,Kilvelur,Tamil Nadu,0.01,0.0,0.01,0.0,6.51,0.82,0.95,2.45,1.51,1.49,6.62,2.34
11.0,75.75,Unknown,Unknown,0.03,1.28,0.97,1.54,6.86,18.99,16.7,6.31,2.28,4.5,4.45,0.58
11.0,76.0,Ernad,Kerala,0.0,0.0,0.0,0.03,4.67,18.09,14.01,5.04,2.49,2.82,0.71,0.45
11.0,76.25,Perinthalmanna,Kerala,0.0,0.0,0.0,0.8,5.46,21.77,14.59,3.2,1.7,3.59,1.79,0.71
11.0,76.5,Mannarkad,Kerala,0.0,0.0,0.0,0.51,4.18,15.73,12.22,3.98,2.17,2.18,2.5,1.01
11.0,76.75,Coimbatore South,Tamil Nadu,0.0,0.0,0.04,0.45,2.09,0.4,0.33,0.05,0.34,1.18,1.99,1.83
11.0,77.0,Coimbatore North,Tamil Nadu,0.0,0.0,0.01,0.67,2.34,0.07,0.14,0.0,0.12,0.51,1.95,1.46
11.0,77.25,Palladam,Tamil Nadu,0.0,0.0,0.02,0.36,1.85,1.11,0.69,0.37,1.22,2.99,2.9,0.72
11.0,77.5,Kangeyam,Tamil Nadu,0.0,0.0,0.17,0.78,1.99,1.59,0.99,0.24,0.33,2.75,2.03,0.59
11.0,77.75,Kangeyam,Tamil Nadu,0.0,0.0,0.0,0.0,3.45,0.33,1.81,1.29,0.77,1.14,0.69,0.91
11.0,78.0,Aravakurichi,Tamil Nadu,0.0,0.0,0.0,0.18,3.07,0.72,2.13,0.52,0.93,0.35,0.7,0.74
11.0,78.25,Thottiyam,Tamil Nadu,0.0,0.0,0.04,0.04,4.44,0.08,4.83,0.7,0.27,2.3,0.28,0.69
11.0,78.5,Musiri,Tamil Nadu,0.0,0.0,0.0,0.0,5.5,1.75,3.07,1.4,1.02,4.0,0.71,0.98
11.0,78.75,Manachanallur,Tamil Nadu,0.0,0.0,0.0,0.0,5.49,1.61,5.46,2.28,1.29,6.11,1.62,1.26
11.0,79.0,Ariyalur,Tamil Nadu,0.0,0.0,0.0,0.0,4.63,2.28,3.68,1.88,1.8,4.39,2.22,2.21
11.0,79.25,Ariyalur,Tamil Nadu,0.0,0.0,0.0,0.0,3.15,1.87,0.21,2.85,1.75,1.02,2.84,2.01
11.0,79.5,Thiruvidaimarudur,Tamil Nadu,0.05,0.0,0.01,0.0,5.07,1.23,0.97,4.06,1.85,1.43,4.66,1.74
11.0,79.75,Thirunallar Taluk,Puducherry,0.03,0.0,0.03,0.0,5.06,1.13,0.67,2.67,1.57,1.0,4.66,1.7
11.25,75.75,Unknown,Unknown,0.01,0.54,0.89,0.94,5.56,21.27,18.01,6.46,2.09,2.4,2.37,0.77
11.25,76.0,Ernad,Kerala,0.0,0.1,0.1,0.13,2.85,18.0,12.79,6.6,3.82,1.54,0.94,0.37
11.25,76.25,Nilambur,Kerala,0.02,0.0,0.01,0.04,2.68,12.82,9.4,5.2,3.45,1.35,0.59,0.62
11.25,76.5,Kundah,Tamil Nadu,0.65,0.0,0.28,0.65,2.7,5.47,5.43,2.28,1.64,1.53,3.9,4.74
11.25,76.75,Mettupalayam,Tamil Nadu,4.15,0.0,0.01,0.33,2.1,0.83,1.25,0.31,0.51,1.74,1.87,2.23
11.25,77.0,Mettupalayam,Tamil Nadu,0.35,0.0,0.95,0.28,1.28,19.07,2.29,0.41,0.55,1.16,0.89,1.14
11.25,77.25,Avanashi,Tamil Nadu,0.0,0.0,0.0,0.41,2.36,1.06,0.81,1.32,1.68,2.1,2.26,0.67
11.25,77.5,Perundurai,Tamil Nadu,0.0,0.0,0.0,1.14,0.39,1.84,1.48,1.82,0.85,1.63,0.55,0.54
11.25,77.75,Modakkurichi,Tamil Nadu,0.0,0.0,0.0,0.0,2.34,0.56,2.76,1.46,1.05,0.82,0.25,0.85
11.25,78.0,Paramathi-Velur,Tamil Nadu,0.0,0.0,0.0,0.0,3.05,1.12,3.6,2.12,0.63,1.26,0.01,0.65
11.25,78.25,Sendamangalam,Tamil Nadu,0.0,0.0,0.0,0.47,3.75,0.91,4.59,1.99,0.45,1.43,0.2,0.62
11.25,78.5,Thuraiyur,Tamil Nadu,0.0,0.0,0.0,0.46,4.09,2.38,3.03,1.29,1.31,1.58,0.48,0.82
11.25,78.75,Perambalur,Tamil Nadu,0.0,0.0,0.0,0.0,4.41,1.59,3.13,2.14,1.11,2.93,1.58,1.15
11.25,79.0,Kunnam,Tamil Nadu,0.0,0.0,0.0,0.0,2.13,0.87,3.45,3.23,0.63,1.45,2.37,0.84
11.25,79.25,Sendurai,Tamil Nadu,0.0,0.0,0.0,0.0,3.56,1.66,1.91,7.32,2.87,1.19,1.85,0.81
11.25,79.5,Kattumannarkoil,Tamil Nadu,0.0,0.0,0.0,0.0,5.24,2.24,0.35,6.49,1.69,3.15,3.24,0.83
11.25,79.75,Sirkali,Tamil Nadu,0.02,0.0,0.02,0.0,3.43,2.0,0.49,3.61,1.47,1.79,1.88,0.96
11.5,75.5,Unknown,Unknown,0.0,0.0,0.69,0.03,6.13,32.82,19.71,8.21,4.25,0.94,0.73,0.75
11.5,75.75,Koyilandi,Kerala,0.07,0.0,0.51,0.28,2.54,16.89,13.61,6.87,3.1,2.59,0.69,1.54
11.5,76.0,Thamarassery,Kerala,0.09,0.0,0.46,0.61,2.41,10.7,10.47,5.91,3.1,2.52,0.82,1.53
