.,Longitude,District,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
23.75,78.5,Jaisinagar Tahsil,Madhya Pradesh,0.15,0,0.91,0.38,0.78,6.9,8.09,20.21,5.05,0,0.04,0.18
23.75,78.75,Jaisinagar Tahsil,Madhya Pradesh,0.31,0,0.74,0.86,1.1,5.05,8.56,15.62,4.92,0,0.1,0.23
23.75,79,Rehli Tahsil,Madhya Pradesh,0.34,0,0.7,0.72,0.99,5.01,8.05,14.91,5.07,0,0.09,0.22
23.75,79.25,Garhakota Tahsil,Madhya Pradesh,0.44,0,0.13,0.22,0.24,4.6,4.44,14.51,5.14,0,0.07,0.15
23.75,79.5,Damoh Tahsil,Madhya Pradesh,1.08,0,0.06,0.08,0.21,4.19,5.74,14.37,3.68,0.01,0.28,0.29
23.75,79.75,Jabera Tahsil,Madhya Pradesh,1.15,0,0.09,0.07,0.28,3.83,5.98,15.25,3.68,0.05,0.28,0.25
23.75,80,Bahoriband Tahsil,Madhya Pradesh,0.96,0,0.15,0.07,0.33,4.25,5.6,15.83,4.39,0.11,0.23,0.29
23.75,80.25,Rithi Tahsil,Madhya Pradesh,0.65,0.08,0.15,0.12,0.33,5.17,5.11,12.13,3.04,0.03,0.28,0.24
23.75,80.5,Katni,Madhya Pradesh,0.48,0.12,0.15,0.14,0.29,5.33,4.91,10.76,2.82,0,0.26,0.25
23.75,80.75,Barhi Tahsil,Madhya Pradesh,0.28,0.34,0.51,0.14,0.54,6.24,5.45,9.81,3.29,0.15,0.18,0.21
23.75,81,Manpur Tahsil,Madhya Pradesh,0.32,0.7,1.08,0.14,1,7.93,7.08,9.62,4.53,0.5,0.12,0.15
23.75,81.25,Jaisinghnagar Tahsil,Madhya Pradesh,0.45,1,1.63,0.1,1.42,9.62,7.73,9.92,5.11,1.07,0.07,0.04
23.75,81.5,Jaisinghnagar Tahsil,Madhya Pradesh,0.37,0.95,1.84,0.02,1.5,10.12,7.85,10.23,4.87,0.93,0.06,0
23.75,81.75,Bharatpur Tahsil,Chhattisgarh,0.42,0.95,1.86,0.03,1.48,10.07,7.83,10.45,4.84,1.07,0.06,0
23.75,82,Bharatpur Tahsil,Chhattisgarh,0.76,0.92,1.92,0.14,1.23,9.64,7.72,12.35,4.68,2.07,0.07,0
23.75,82.25,Bharatpur Tahsil,Chhattisgarh,1.55,0.63,2.47,0.59,1,11.49,9.07,15.17,4.25,4.81,0.23,0.01
23.75,82.5,Sonhat Tahsil,Chhattisgarh,1.38,0.53,2.34,0.65,0.92,10.93,8.95,12.76,4.12,4.36,0.28,0.01
23.75,82.75,Oudgi Tahsil,Chhattisgarh,1.34,0.65,2.64,0.86,1.03,10.66,8.47,11.67,4.11,3.83,0.35,0.02
23.75,83,Pratappur Tahsil,Chhattisgarh,0.74,0.79,2.65,0.79,1.44,9.33,8.58,9.29,3.94,2.26,0.41,0.01
23.75,83.25,Wadrafnagar Tahsil,Chhattisgarh,0.44,0.94,2.66,0.68,1.88,9.65,9.81,7.88,4,2.01,0.46,0
23.75,83.5,Ramanujganj Tahsil,Chhattisgarh,0.42,1.05,2.81,0.78,2.29,9.95,10.46,8.19,4.15,2.43,0.53,0
23.75,83.75,Bhandaria,Jharkhand,0.76,1.1,3.6,0.61,1.66,10.29,11.03,8.75,4.75,3.15,0.5,0.01
23.75,84,Bhandaria,Jharkhand,0.88,0.24,3.66,0.62,1.77,8.75,12.18,9.35,6.14,4.9,0.16,0.05
23.75,84.25,Barwadih,Jharkhand,1.27,0.68,5.86,1.49,1.03,11.03,18.88,13.55,5.42,8.1,0.51,0
23.75,84.5,Latehar,Jharkhand,1.04,0.68,4.08,0.98,0.84,7.32,9.71,7.12,4.61,2.94,0.18,0
23.75,84.75,Chandwa,Jharkhand,1.04,0.9,3.9,0.62,0.72,7.03,7.61,6.31,5.05,2.31,0.37,0
23.75,85,Tandwa,Jharkhand,0.43,0.36,2.32,1.55,2.05,7.63,7.17,6.23,5.8,2.65,0.57,0
23.75,85.25,Barkagaon,Jharkhand,0.42,0.26,2.15,1.4,1.85,6.54,6.31,5.93,5.08,1.64,0.49,0
23.75,85.5,Mandu,Jharkhand,0.56,0.48,2.35,1.09,3.08,6.1,6.01,7.38,4.1,1.78,0.23,0
23.75,85.75,Gumia,Jharkhand,0.5,0.36,2.15,0.82,2.25,6.04,6.83,7.8,3.84,1.43,0.15,0
23.75,86,Peterwar,Jharkhand,0.78,0.37,2.14,1.18,2.62,7.14,7.1,8.73,6.55,2.31,0.1,0
23.75,86.25,Baghmara-Cum-Katras,Jharkhand,0.5,0.24,2.15,1.43,2.03,6.26,7.31,7.5,5.97,1.84,0.02,0
23.75,86.5,Baliapur,Jharkhand,0.81,0.29,3.21,1.07,2.86,7.17,7.22,7.96,9.47,1.8,0.08,0
23.75,86.75,Nirsa-Cum-Chirkunda,Jharkhand,0.92,0.07,2.16,1.07,2.95,6.5,12.16,9.22,6.84,2.87,0.02,0
23.75,87,Barabani,West Bengal,0.7,0,2.12,2.78,6.33,12.2,10.13,12.03,9.71,0.77,0.01,0
23.75,87.25,Khoyrasol,West Bengal,0.67,0.01,1.37,1.89,6.51,11.97,11.52,11.77,7.85,1.55,0,0
23.75,87.5,Dubrajpur,West Bengal,0.57,0.04,1.23,1.47,6.31,11.75,15.91,8.78,5.14,1.14,0,0
23.75,87.75,Bolpur Sriniketan,West Bengal,0.54,0.02,1.3,1.86,7.56,11.83,14.37,7,3.74,0.75,0.02,0
23.75,88,Ketugram - I,West Bengal,0.42,0.01,1.19,3.04,8.52,8.24,12.08,6.84,2.19,0.51,0.15,0
23.75,88.25,Kaliganj,West Bengal,0.5,0.08,1.56,3.05,7.28,7.72,10.71,6.59,2.66,0.61,0.15,0
23.75,88.5,Tehatta-I,West Bengal,0.54,0.11,1.79,3.39,7.28,6.77,9.74,6.49,2.46,0.62,0.15,0
23.75,91,Muradnagar Upazila,Chattogram Division,0,0,0,0,0,0,0,0,0,0,0,0
23.75,91.25,Sadar,Tripura,0.47,0.08,0.21,4.41,10.5,16,12.47,5.74,10.18,5.44,1.59,0
23.75,91.5,Jampuijala,Tripura,0.57,0.08,0.25,7.47,14.15,17.69,11.44,5.56,11.07,6.87,0.97,0
23.75,91.75,Teliamura,Tripura,1.08,0.09,0.25,7.13,12.34,15.37,10.21,6.71,10.43,9.96,0.83,0
23.75,92,Longtharai Valley,Tripura,1.5,0.18,0.14,4.64,7.4,7.41,9.06,7.48,6.82,9.36,1.31,0
23.75,92.25,Kanchanpur,Tripura,1.47,0.19,0.17,5.12,7.71,7.38,9.03,7.65,7.08,10.05,0.85,0
23.75,92.5,West Phaileng,Mizoram,1.49,0.22,0.13,3.68,5.68,5.41,7.95,6.24,6.39,7.05,1.19,0
23.75,92.75,Tlangnuam,Mizoram,1.11,0.2,0.09,3.56,5.71,6.09,8.55,7.03,6.23,8.08,1.17,0
23.75,93,Thingsulthliah,Mizoram,1.11,0.2,0.09,3.41,5.85,6.14,8.55,7.34,6.48,7.9,1.15,0
23.75,93.25,Ngopa,Mizoram,1.04,0.22,0.14,3.2,5.32,5.67,7.83,6.42,5.65,7.41,1.35,0
24,68,Sujawal District,Sindh,0,0,0,0,0,0.05,5.73,17.56,3.01,0.18,0,0
24,68.25,Sujawal District,Sindh,0,0,0,0,0,0.1,5.82,17.61,2.97,0.2,0,0
24,68.5,Sujawal District,Sindh,0,0,0.01,0,0,0.14,5.81,17.58,2.99,0.18,0,0
24,68.75,Sujawal District,Sindh,0,0,0,0,0,0.12,5.72,17.5,3.04,0.15,0,0
24,69,Unknown,Gujarat,0,0,0.02,0,0,0.43,6.02,17.62,2.98,0.21,0,0
24,69.25,Unknown,Gujarat,0.01,0,0.06,0,0,1.14,6.43,17.66,2.98,0.37,0,0
24,69.5,Unknown,Gujarat,0.01,0,0.09,0,0,2.03,6.49,17.54,3.29,0.85,0,0
24,69.75,Unknown,Gujarat,0.02,0,0.11,0.01,0,2.9,6.93,17.69,3.71,1.94,0,0
24,70,Unknown,Gujarat,0.01,0,0.03,0,0,2.73,7.21,15.65,4.55,1.87,0,0
24,70.25,Unknown,Gujarat,0,0,0.01,0,0,2.91,7.38,14.34,4.83,1.48,0,0
24,70.5,Unknown,Gujarat,0,0,0,0,0,3.19,7.01,13.09,5.11,1.23,0,0
24,70.75,Unknown,Gujarat,0,0,0.01,0,0,3.23,5.87,12.26,4.81,1.06,0,0
24,71,Unknown,Gujarat,0,0,0.03,0,0,2.14,2.85,12.65,2.84,0.19,0,0
24,71.25,Unknown,Gujarat,0,0,0.02,0,0,2.07,2.41,14.7,2.64,0.07,0,0
24,71.5,Bhabhar Taluka,Gujarat,0,0,0,0,0,1.9,2.77,15.78,3.77,0.03,0,0
24,71.75,Kankrej Taluka,Gujarat,0,0,0,0,0,2.18,2.26,16.48,2.83,0,0,0
24,72,Kankrej Taluka,Gujarat,0,0,0.03,0,0.08,2.26,3.96,20.33,2.92,0.21,0,0
24,72.25,Sidhpur Taluka,Gujarat,0,0,0.31,0,0.24,1.36,3.81,22.73,5.43,0.08,0,0.01
24,72.5,Vadgam Taluka,Gujarat,0,0,0.17,0,0.38,1.34,1.88,17.56,4.95,0.02,0,0.01
24,72.75,Satlasana Taluka,Gujarat,0,0,0.12,0,0.01,2.36,3.32,14.45,3.56,0.12,0,0.01
